55242 91467
236 1729 83
237 238 84
237 493 51
237 492 134
238 3011 159
239 240 170
239 1788 79
239 1566 154
239 1696 78
240 241 140
240 327 85
240 328 84
241 679 77
241 242 273
241 678 79
242 243 272
242 1789 79
242 1324 76
243 50961 278
243 49428 77
243 1358 79
244 1698 77
244 245 275
244 1791 80
244 50961 270
245 728 80
245 55086 266
245 729 77
246 45351 192
246 52303 85
246 2480 78
247 45282 7
247 248 30
247 494 176
248 45293 23
248 2310 166
249 45293 77
249 250 78
249 2757 245
250 825 243
250 251 78
250 826 84
251 497 228
251 252 85
251 2911 244
252 253 210
252 1009 121
252 1010 119
253 1723 119
253 2489 121
253 254 176
254 1724 119
254 255 176
254 2607 122
255 256 131
255 837 118
255 838 122
256 3071 90
256 257 129
256 1725 118
257 2516 27
257 3071 156
258 259 78
258 1912 88
258 1046 159
258 1047 31
259 49194 49
259 260 79
260 261 80
260 46718 65
261 1048 83
261 262 151
262 49467 12
262 1913 53
262 1914 23
263 2014 974
263 1133 85
263 2281 274
264 45050 18
264 510 167
264 13173 286
264 45046 257
265 1712 234
265 45038 75
265 266 106
266 1711 99
266 267 87
267 894 124
267 2479 262
268 1682 80
268 909 220
268 44451 57
269 1522 217
269 270 79
269 48807 62
270 271 81
270 2868 70
270 3084 215
271 624 214
271 49686 54
271 272 78
271 41984 167
272 273 79
272 884 215
273 274 79
273 3067 216
274 2682 215
274 275 79
275 1676 214
275 276 79
276 45277 132
276 277 79
276 892 214
277 3070 215
277 278 79
278 54217 62
278 279 81
278 571 215
279 2439 215
279 280 85
280 43562 181
280 1515 216
280 281 86
281 43563 178
281 1807 216
281 282 80
282 41987 216
282 283 81
282 1902 216
283 43278 225
283 642 216
283 284 81
284 51427 218
284 285 80
284 3033 215
285 49505 222
285 2595 214
285 286 80
286 287 86
286 1594 215
286 49505 143
287 288 86
287 3085 216
287 2882 227
288 1785 226
288 289 80
288 1784 216
289 2932 216
289 290 80
289 2883 226
290 1878 226
290 291 80
290 1877 216
291 2713 216
291 292 81
291 2714 226
292 1339 226
292 293 80
292 1338 216
293 3086 216
293 294 87
293 2884 226
294 295 85
294 518 225
294 517 217
295 3009 216
295 296 79
295 2885 226
296 2513 225
296 297 81
296 2512 216
297 1529 216
297 298 77
297 1530 222
298 299 83
298 1530 296
298 2394 215
299 3087 215
299 51506 68
300 48806 27
300 1119 34
300 51506 10
300 53623 7
301 1815 77
301 302 271
301 2292 86
302 2140 87
302 1816 78
302 44348 151
303 44348 18
303 404 80
303 304 105
303 405 87
304 794 78
304 795 87
304 305 157
305 1817 80
306 2193 79
306 307 139
307 2355 89
307 3045 79
307 308 133
308 1071 79
308 1072 88
308 309 118
309 2356 89
309 2800 79
309 310 89
310 483 90
310 482 86
311 2358 114
311 312 83
311 43364 77
312 314 111
312 43364 151
313 41000 56
313 40996 92
313 49830 7
314 53762 83
314 2358 85
314 315 398
315 43373 103
315 316 254
316 317 224
316 43373 17
316 45280 29
317 53897 327
318 49549 145
318 319 78
318 559 160
319 3015 138
319 320 77
319 49558 168
320 49550 190
320 321 79
321 2330 92
321 322 86
321 49559 214
322 49560 245
322 323 87
322 1211 61
323 1715 43
323 2522 110
323 52249 226
324 1715 84
324 42359 28
325 675 261
325 2983 48
325 42359 84
326 677 200
326 327 84
326 1249 109
327 1788 139
327 678 170
328 1696 200
328 329 85
328 679 110
329 680 79
329 2878 230
329 51580 85
330 1953 223
330 331 85
330 684 51
331 685 81
331 332 83
331 1954 193
332 1955 165
332 333 79
332 686 108
333 687 132
333 334 85
333 1144 141
334 1956 120
334 688 153
335 689 178
335 336 82
335 1957 95
336 1958 74
336 337 87
336 690 200
337 1663 50
337 691 222
338 1960 79
338 998 274
338 694 272
338 1961 80
339 1370 224
339 340 80
339 1962 49
340 1963 62
340 341 85
340 1371 211
341 990 197
341 342 80
341 989 78
342 1964 81
342 343 79
342 1372 193
343 1373 189
343 344 80
343 1965 83
344 1966 88
344 345 77
344 1374 186
345 1375 177
345 346 81
345 1967 96
346 1968 104
346 347 83
346 1376 168
347 1377 150
347 348 78
347 1969 124
348 866 144
348 349 93
348 867 128
349 1970 178
349 1378 94
349 350 93
350 1971 213
350 1379 59
350 45372 66
351 1469 96
351 54414 11
351 352 208
352 353 111
352 2609 90
353 354 35
353 604 113
354 355 29
354 3112 104
355 1238 105
355 1237 117
356 1749 117
356 357 68
356 3036 128
357 2003 131
357 358 12
358 2997 126
358 359 62
359 53629 132
359 360 66
359 1998 137
360 53414 41
360 44990 140
360 53413 26
360 53630 144
361 2448 161
361 41257 66
361 362 73
361 2320 143
362 720 139
362 363 69
362 49650 118
363 600 119
363 364 70
364 2462 147
364 2926 168
364 51099 76
365 2464 144
365 51099 76
365 366 77
365 48998 171
366 2994 176
366 367 80
366 2465 146
367 2466 149
367 368 68
367 2684 181
368 369 32
368 2683 182
369 2053 83
369 51098 154
369 370 70
370 1905 80
370 371 120
370 1904 80
371 2894 81
371 372 123
371 2788 80
372 944 81
372 373 162
372 945 81
373 2124 80
373 374 160
373 2125 80
374 2789 80
374 3133 80
374 45427 151
375 45427 15
375 2730 83
375 3119 82
375 45172 135
376 2470 115
376 45172 90
376 377 81
377 2031 82
377 378 77
377 823 112
378 2471 112
378 379 78
378 2790 81
379 2791 80
379 380 75
380 381 65
380 1107 80
381 1859 124
381 382 68
382 2472 125
382 383 76
382 2792 80
383 2769 229
383 384 73
383 2473 124
384 771 103
384 385 79
384 770 226
385 3043 195
385 386 86
386 2600 104
386 387 86
386 2599 161
387 1597 125
387 388 92
387 1598 106
388 2043 82
388 1800 94
388 49556 91
389 908 136
389 2381 52
389 390 104
390 906 152
390 54414 88
391 44441 204
391 45368 72
391 44312 18
392 44440 111
392 393 91
392 44320 20
393 2284 66
393 394 135
393 44313 20
394 2284 117
394 54225 30
394 54226 47
395 54226 93
395 1881 199
395 396 88
395 44336 18
396 625 158
396 397 89
396 44321 18
397 44345 18
397 398 89
397 2135 117
398 45278 77
398 399 90
398 44328 18
399 44326 20
399 2136 33
399 53793 73
400 789 234
400 44314 94
400 51540 42
400 401 90
401 790 207
401 402 85
401 44342 19
402 44318 20
402 791 182
402 54893 84
403 44323 18
403 54893 83
403 404 84
403 793 136
404 794 116
404 44335 18
405 44315 19
405 795 104
406 796 105
406 407 80
406 54890 20
407 54891 18
407 408 79
407 797 107
408 798 107
408 44322 19
409 799 114
409 410 87
409 44352 16
410 44327 16
410 800 120
410 411 85
411 801 126
411 412 80
411 44331 16
412 44350 16
412 802 127
413 44333 17
413 414 81
413 803 127
414 804 127
414 415 78
414 44340 17
415 44341 17
415 416 79
415 805 128
416 806 127
416 417 79
416 44346 19
417 44353 19
417 418 79
417 807 127
418 44324 23
418 419 86
418 808 126
419 809 126
419 44349 22
419 420 85
420 810 126
420 421 79
420 44319 19
421 44338 18
421 422 80
421 811 127
422 812 127
422 423 79
422 44339 18
423 44325 19
423 424 79
423 813 128
424 814 127
424 425 79
424 44329 19
425 44347 19
425 426 80
425 815 127
426 816 126
426 427 79
426 44351 19
427 44317 19
427 817 115
427 54943 84
428 819 20
428 44337 21
428 52134 70
429 43344 79
429 2108 135
429 430 77
429 43081 19
430 48491 18
430 2109 116
430 431 82
431 53012 135
431 432 79
431 44980 17
432 43082 17
432 433 79
432 1644 145
433 828 167
433 434 80
433 43083 17
434 43084 17
434 435 80
434 49736 194
435 49737 191
435 42737 86
435 44172 18
436 44984 85
436 43085 18
436 44983 79
437 51120 22
437 2277 84
437 438 81
438 43087 26
438 1745 162
438 52601 72
438 53970 74
439 46810 19
439 1757 267
439 52602 78
439 440 79
440 43089 19
440 542 267
440 52599 79
441 43090 20
441 52599 165
441 52352 223
441 43092 83
442 2111 180
442 43092 78
442 443 80
442 43093 17
443 46492 492
443 444 79
443 43094 18
444 2112 193
444 445 79
444 43095 19
445 43096 18
445 446 79
445 1158 188
446 2113 185
446 447 80
446 43097 18
447 43098 18
447 448 78
447 52127 168
448 2114 145
448 449 78
448 43099 18
449 43100 18
449 450 86
449 2115 142
450 43101 19
450 1210 135
450 451 84
451 43102 19
451 452 79
451 2116 120
452 2117 119
452 453 79
452 43103 19
453 43104 18
453 454 79
453 1856 119
454 1221 133
454 455 78
454 43105 18
455 43106 17
455 456 78
455 2097 138
456 2098 160
456 457 80
456 43107 17
457 43108 20
457 458 79
457 2099 184
458 2100 275
458 459 163
458 43109 19
459 43110 18
459 460 85
459 43175 94
460 43111 18
460 43353 25
460 44223 216
461 2901 39
461 43353 53
461 462 79
461 43112 19
462 43113 18
462 46716 86
463 43115 18
463 464 78
464 465 80
464 43116 18
465 43117 20
465 466 78
466 467 79
466 43118 20
467 43119 18
467 468 95
468 43120 18
468 469 87
469 43121 18
469 53458 83
470 43122 17
470 53458 69
470 46710 77
471 46710 11
471 46809 17
471 2703 132
471 52183 30
472 46711 40
472 473 86
472 1064 104
473 474 80
473 1064 72
474 1065 100
474 475 84
475 476 84
475 533 12
476 2797 38
476 477 89
477 478 82
478 1581 86
478 479 69
479 480 18
480 481 79
480 2798 107
481 2799 122
481 482 81
481 40995 130
482 40998 162
482 2800 107
483 484 70
483 2356 73
483 2357 85
484 485 78
484 2801 84
485 1755 94
485 486 74
486 3010 85
486 2802 105
486 487 80
487 2803 116
487 488 56
488 2504 84
488 489 114
489 1474 86
489 490 135
489 1473 140
490 2854 84
490 491 138
491 3011 83
491 492 26
492 2977 106
493 53656 95
493 2977 220
494 2310 180
495 826 160
495 45292 91
495 496 169
496 826 130
496 497 81
497 43372 33
498 1010 122
498 2073 97
498 43372 52
498 499 129
498 43371 67
499 1980 141
499 500 80
500 1723 119
500 501 176
500 2490 98
501 1724 117
501 502 176
501 2961 99
502 837 117
502 836 98
502 503 131
503 2962 108
503 49846 22
503 1725 104
504 2793 189
504 505 92
504 49846 90
505 506 81
505 1879 139
506 617 101
506 507 96
507 3026 66
507 508 85
508 45048 54
508 2579 42
509 575 85
509 2404 151
510 45040 11
510 44876 186
511 2778 86
511 512 155
511 3007 86
512 43534 144
512 2555 85
512 2554 87
513 43534 17
513 3008 85
513 514 147
513 3139 87
514 515 154
514 2659 87
514 2660 84
515 516 215
515 2839 85
515 2838 87
516 517 228
516 2249 87
516 2250 84
517 3009 84
517 3086 88
518 2885 85
518 2884 87
519 520 103
519 2007 46
520 51597 87
520 2006 48
520 51596 87
521 522 310
521 1842 81
521 1597 179
521 2042 87
522 523 273
522 667 87
522 666 80
523 524 211
523 1843 80
523 1924 87
524 959 77
524 958 74
524 854 84
525 959 37
525 854 48
525 51542 11
526 54913 20
526 51542 57
526 855 71
527 1507 69
527 54913 128
527 1508 92
527 49502 58
528 821 81
528 3012 87
528 529 116
528 49502 151
529 822 84
529 3013 87
530 531 139
530 2191 80
530 2190 79
531 532 134
531 3027 82
531 3052 79
532 533 116
532 1066 82
532 1065 80
533 2797 82
534 2811 104
534 1582 163
535 44451 52
535 536 28
535 1682 81
535 2119 86
536 47589 54
536 996 74
537 1149 81
537 1150 142
537 2329 85
538 2575 155
538 1758 82
538 539 302
538 52303 241
539 1174 77
539 1759 80
539 48009 15
540 46100 15
540 1760 80
540 541 266
540 1175 78
541 1176 79
541 1395 81
542 1173 80
542 1757 77
543 2339 157
543 1283 78
543 46059 150
544 2103 81
544 813 173
544 2102 81
545 2794 73
545 546 131
545 626 70
545 47584 158
546 627 69
546 547 114
546 2795 73
547 548 161
547 628 67
547 51203 79
548 41184 26
548 2796 135
548 2965 90
549 48515 83
549 2625 58
549 550 34
550 2622 19
550 551 103
550 48515 76
551 2445 167
551 2444 84
552 2875 17
552 52286 127
552 1126 60
552 1735 76
553 48064 69
553 554 141
553 2876 218
553 52286 134
554 555 109
554 1737 69
554 2876 77
555 937 69
555 42938 99
555 938 77
556 557 144
556 587 77
556 42938 17
556 42947 70
557 558 137
557 1628 77
557 1627 71
558 917 69
558 45415 141
558 916 77
559 1861 75
559 560 309
559 3015 74
560 671 73
560 561 274
560 670 74
561 1862 74
561 562 273
561 1927 74
562 1354 74
562 563 278
562 1353 74
563 1863 74
563 564 269
563 2406 73
564 3016 74
564 1864 74
564 54634 169
565 566 154
565 3068 79
565 2434 80
566 43510 146
566 2435 80
566 2548 79
567 568 147
567 2436 81
567 3069 79
567 43510 17
568 569 153
568 2654 79
568 2437 80
569 570 215
569 2438 80
569 2834 79
570 571 231
570 2242 79
570 2243 80
571 2439 81
571 3070 79
572 660 19
572 573 167
572 2630 72
573 896 26
573 897 40
574 575 173
574 2403 120
574 2404 82
575 45047 13
575 2579 119
575 45048 73
576 1230 85
576 577 117
576 45047 90
577 578 86
577 1596 85
578 3024 162
578 579 122
579 1022 120
580 2432 79
580 46059 150
580 2954 79
580 48027 15
581 1027 93
581 49024 204
581 1026 92
581 582 61
582 1387 80
582 1388 79
582 583 139
583 2433 78
583 2696 80
583 584 133
584 1985 79
584 1984 79
585 45307 11
585 631 78
585 45308 59
585 1686 73
586 42948 16
586 42939 69
586 928 99
586 45307 99
587 1628 144
587 42948 70
587 42939 17
588 42946 17
588 42941 42
588 936 99
588 48063 23
589 42946 43
589 1625 143
589 590 68
589 42941 17
590 42940 17
590 591 73
590 1624 143
591 42942 17
591 1623 143
591 592 71
592 1622 143
592 42943 17
592 42945 78
593 1340 57
593 50064 75
593 1618 137
594 49345 37
594 1341 64
594 595 77
595 596 78
595 1342 64
596 1343 64
596 1631 131
596 597 149
597 598 77
597 1344 64
598 1345 64
599 1870 93
599 1988 45
599 1987 40
599 52344 131
600 601 46
600 49650 69
601 602 126
601 2926 70
601 721 68
602 603 102
602 722 67
602 2925 70
603 1480 37
603 718 36
604 1237 54
604 605 130
605 1240 56
605 606 164
605 2734 76
606 2373 70
606 607 75
606 1239 45
607 3037 84
607 2996 74
608 609 154
608 52249 23
608 676 310
608 1249 77
609 2524 79
609 49554 149
609 2523 77
610 3023 78
610 611 149
610 3102 78
610 49554 12
611 612 153
611 46245 78
611 2633 78
612 613 216
612 2821 77
612 48990 79
613 614 128
613 2216 77
613 2217 78
614 615 100
614 2584 257
615 2584 157
615 3077 79
615 45144 412
616 3138 184
616 3024 80
616 1022 155
617 1879 80
617 3026 84
618 3108 79
618 619 154
618 878 79
619 879 79
619 2545 79
619 43509 145
620 43509 17
620 880 79
620 621 147
620 3145 79
621 2651 79
621 622 154
621 881 79
622 882 79
622 623 215
622 2832 79
623 2239 78
623 883 79
623 51904 90
624 884 78
624 51904 138
624 3084 79
625 2135 79
625 1881 77
626 47585 154
626 627 130
626 2998 68
627 3018 68
627 628 95
628 41255 80
629 630 25
630 1582 130
630 3140 73
631 632 72
631 2122 79
631 950 88
632 633 76
632 949 82
632 971 84
633 634 76
633 50048 90
633 948 77
634 635 36
634 2123 96
635 946 67
635 2123 98
636 1896 80
636 637 153
636 3031 81
637 2549 81
637 1897 80
637 43516 145
638 43516 17
638 3032 80
638 639 148
638 1898 80
639 1899 81
639 640 154
639 2655 80
640 2835 80
640 641 215
640 1900 81
641 1901 81
641 642 228
641 2244 80
642 3033 79
642 1902 82
643 43306 72
643 653 44
643 2128 98
644 652 17
644 43306 72
645 48998 8
645 646 81
645 2941 124
645 48997 42
646 647 93
646 2993 99
646 2994 30
647 648 90
647 2684 78
647 1259 52
648 649 41
648 2055 93
648 2683 129
648 1256 86
649 48999 75
649 1798 51
650 50098 84
650 1572 128
650 48861 44
651 652 63
651 1573 82
651 50098 73
652 653 155
652 939 21
653 654 85
653 1891 63
654 2478 163
654 655 82
655 656 82
655 1868 178
655 1867 30
656 49991 8
656 2855 54
656 3049 192
657 1583 124
657 45178 107
657 658 96
657 895 70
657 51254 6
658 659 61
658 895 69
658 1583 67
659 660 81
659 45180 129
660 45181 135
660 661 77
661 45182 140
661 662 77
661 1159 130
662 1105 64
662 663 93
662 1104 145
663 952 47
663 1731 152
664 665 76
664 769 307
664 953 108
665 767 274
665 666 81
665 2770 309
666 1842 308
666 1843 272
667 668 86
667 2042 309
667 1924 273
668 1925 274
668 669 81
668 853 310
669 2781 310
669 670 74
669 1926 273
670 1862 273
670 1861 308
671 1927 274
671 3015 308
672 1928 273
672 673 76
672 2330 309
673 674 86
673 1211 309
673 1212 273
674 1715 309
674 1716 273
675 1929 273
675 676 80
676 677 76
676 1930 274
677 1250 274
677 678 78
678 1789 274
679 680 78
679 1324 273
680 681 78
680 1325 274
681 682 78
681 51580 47
681 1880 275
682 683 86
682 49432 276
682 2613 308
683 1691 308
683 1692 276
683 684 82
684 685 80
684 1269 309
685 2933 309
685 686 76
686 687 78
686 2347 310
687 688 79
687 1143 310
688 689 77
688 2493 309
689 2596 309
689 690 78
690 691 84
691 692 85
691 1662 312
692 693 79
692 1959 273
692 3020 310
693 2314 310
693 694 79
693 1960 274
694 695 78
694 997 310
695 1163 310
695 696 79
695 1961 273
696 1962 272
696 697 79
696 2908 311
697 2311 311
697 698 79
697 1963 273
698 699 80
698 989 272
698 988 310
699 1990 310
699 700 77
699 1964 272
700 701 80
700 1965 273
700 2018 310
701 702 78
701 2587 310
701 1966 273
702 1967 272
702 703 79
702 1553 310
703 2858 310
703 704 81
703 1968 272
704 1969 272
704 705 77
704 2068 310
705 706 85
705 865 310
705 866 273
706 1970 273
706 707 86
706 1014 310
707 708 84
707 1971 273
708 49365 250
709 2732 190
709 49359 19
709 49991 73
710 1265 79
710 1835 80
710 43541 142
711 1261 79
711 43541 25
711 712 142
711 1831 80
712 1832 79
712 713 155
712 1262 80
713 714 214
713 1263 80
713 1833 78
714 1836 77
714 715 229
714 1267 80
715 51105 254
715 1266 80
715 1837 79
716 717 45
716 51205 63
716 1438 73
717 718 88
717 723 98
718 723 38
719 49503 36
719 53735 56
719 720 70
719 2462 165
720 2320 72
721 49650 45
721 722 129
721 2448 74
722 2449 75
722 723 70
723 1479 82
724 1718 273
724 41175 79
724 55089 94
725 51103 9
725 726 79
725 2984 273
726 2446 274
726 727 76
726 2447 212
727 1253 231
727 728 79
727 1252 274
728 1791 274
728 1792 248
729 1698 273
729 1699 272
729 51677 82
730 51854 76
730 731 84
730 51853 81
731 48094 140
731 1695 273
731 732 87
732 733 75
732 50060 99
733 48097 106
733 734 78
734 735 79
734 53930 115
735 43319 78
735 1147 271
736 53680 10
736 43319 81
736 2759 268
736 737 76
737 2971 269
737 738 86
737 53679 11
738 53678 10
738 41042 260
738 52227 77
739 52227 8
739 41038 239
739 740 78
739 52055 107
740 2316 271
740 741 79
740 41037 217
741 41039 201
741 742 79
741 1000 271
742 3074 272
742 743 79
742 54631 199
743 41040 199
743 744 79
743 2909 272
744 2313 271
744 745 80
744 54630 200
745 41041 199
745 746 79
745 992 272
746 1992 272
746 747 78
746 54628 199
747 55074 199
747 748 80
747 3003 272
748 2588 272
748 749 78
748 54626 200
749 750 78
749 2787 272
